,ISBN,Book_Title,Description
234000,0373761252,Her Torrid Temporary Marriage,"Her Torrid Temporary Marriage by Sara Orwig released on Dec 25, 1997 is available now for purchase."
234001,0688100872,Memories of Midnight,A beautiful American widow flees to a remote convent in Greece after an attempt on her life and becomes involved with a ruthless tycoon
234004,0876055528,The Koehler Method of Guard Dog Training,"Offers guidance in selecting and training dogs for personal protection, plant security, and police work"
234006,3446201262,Schluss mit cool,"Brilliant, witzig, böse behandelt Boyle in seinen neusten Geschichten auf seine gewohnt sarkastische Weise Alltagsschicksale und merkwürdige Angewohnheiten amerikanischer Bürger. Er erzählt von super-coolen Vätern, tatkräftigen Greisinnen, schrillen Athletinnen und einsamen Männern."
234007,0684192640,Friends in High Places,"""A Rita Noonan mystery."" Rita, partner in a private investigation agency, finds herself drawn into the seedy, drug-infested neighborhoods of Manhattan's Lower East Side to solve a murder."
234008,1865084530,Finding Grace,"Told by sassy 18-year-old Rachel, this is a suspenseful, compassionate, yet laugh-out-loud funny story about looking after a woman with brain damage - and about tasting love, finding grace and getting a life."
234009,8408029487,Las afueras de Dios,"Clara Ribalta, durante veinticinco años, es la hermana Nazaret dentro de un asilo de ancianos en Córdoba. Después, un deslumbrador descubrimiento de su intimidad la transformará de nuevo en Clara Ribalta. Las afueras de Dios trata del itinerario físico y espiritual de esa mujer, que vive y ama hasta la muerte y más allá. El amor es el alimento único de su cuerpo y de su alma, ya que ambos son inseparablemente ella. El amor en muchas de sus manifestaciones: el divino, con su noche oscura, y también el humano; el que asciende a las cumbres más altas y el que se entrega con la entrega del cuerpo; el amor franciscano a todas las criaturas y, sobre los demás, el amor a los ancianos, que configura su vida entera. Su experiencia, en el convento y fuera de él, le ha permitido comprender que es imposible amar a los hombres en Dios: hay que amar a Dios en los hombres; que los otros no son el infierno: los otros son precisamente Dios. Y le ha permitido llegar a la conclusión de que la ciencia añade años a la vida humana, pero no añade vida a tales años, y ésa es la empresa en la que todos, por nuestro propio interés, hemos de participar. Y le ha permitido intuir que nuestro universo no fue creado de una vez para siempre; que ha de recrearse sin cesar por el hombre, habitante de las afueras de Dios pero su delegado y su continuador: la promesa «Seréis como Dioses» del Tentador en el Paraíso no fue una vana falacia. La primera parte de esta historia la relata el capellán del asilo cordobés. La segunda, pasados casi treinta años, un voluntario que trabaja en la residencia donde Clara es ya una anciana muy poco común. Situada en esas afueras, se mueve Clara a los impulsos de su corazón. Hasta que, al fin, le es dado conocer y saborear una aproximación indecible a lo que constituye el verdadero centro de su mundo, a su última e inefable razón de ser."
234010,0060928697,A Simple Habana Melody,"It is 1947, and Israel Levis, a Cuban composer whose life had once been a dream of music, love, and sadness, returns to Cuba after being mistakenly imprisoned during the Nazi occupation of France. When Levis arrives back in Habana, his mind returns to an unrequited romance with the alluring Rita Valladares, a singer for whom Levis had written his most famous song, ""Rosas Puras."" This 1928 composition became the most famous rumba in the world and changed American and European tastes in music and dance forever. A love story -- of art, family, and country -- A Simple Habana Melody is a virtuoso performance from one of our most important writers."
234011,0590206400,Shiloh Season,"When mean and angry Judd, who has never known kindness, takes to drinking and mistreats his dogs, Marty discovers how deep a hurt can go and how long it takes to heal."
234012,0671605224,Feed Your Kids Bright,"Raise your child's I.Q. to its inherent potential and dramatically improve school performance. Here's the revolutionary eating plan that shows you how. Delight your kids with more than 80 ""bright"" recipes."
234013,0876052693,The Complete Rottweiler,"The Rottweiler's earliest recorded job was herding cattle and sheep for the Roman Army, and in the years since he has served as a carting dog, guide for the blind, police dog, guard dog, retriever, tracker, and as a cherished companion."
234014,0671454617,In the Frame,"Charles Todd is an English artist, well-known for his renderings of sleek and athletic horses. But what he sees at his brother's he cannot capture on canvas. His sister-in-law has been murdered, and his brother is the prime suspect. Todd sudenly finds himself in a dangerous manhunt as he searches for an elusive killer who paints his own picture of mayhem...."
234015,0525248358,People in Trouble,"This political fantasy about what happens to love and anger when they are transformed by activism includes a varied cast of gay and lesbian characters in the age of AIDS, all of whose lives are altered by the appearance of Justice, an underground organization of gay guerrilla activists determined to save their own lives."
234016,0671530267,Rat Race,"Matt Shore is a substitute pilot assigned to fly four racing buffs to the track. They're nervous, but Matt's not. That is, until he manages an emergency landing minutes before the plane explodes. Matt doesn't think anything else can possibly go wrong. Then he finds himself caught up in a rat race of danger that puts him on the wrong side of the odds...."
234017,0889626154,The Hero of the Slocum Disaster,"The story of the ""General Slocum"", a ship which caught ablaze in 1904 with the loss of 1100 women and children. The captain was brought to trial and later pardoned, but questions remained: why did the ""Slocum"" fire hose burst when it was switched on; and why did the life jackets contain iron bars?"
