,ISBN,Book_Title,Description,sentiment_score_neg,sentiment_score_neu,sentiment_score_pos,sentiment_score_compound,sentiment_type
2,0425176428,What If?,"Essays by respected military historians, including Stephen Ambrose, David McCullough, James McPherson, and John Keegan, consider the consequences if history had turned out differently, such as if the weather on D-Day had been worse or if Washington had not escaped from Long Island. Reprint.",0.064,0.871,0.064,0.0,1
3,0679425608,Under the Black Flag,"An authoritative, revisionist history of the golden age of piracy draws on original archive material and records to provide a realistic study of pirates and their lives that refutes many of the colorful myths about the era. 35,000 first printing. Tour.",0.0,0.944,0.056,0.3182,1
4,074322678X,Where You'll Find Me,"Now back in print, Ann Beattie's finest short story collection, reissued to accompany the publication of her latest novel, ""The Doctor's House."" Most of the characters in ""Where You'll Find Me"" grew up in the 1960s and 1970s, are in their twenties and thirties and embody a curious, yet familiar, fusion of hope and despair. In finely crafted narratives, Beattie writes of women nursing broken hearts, men looking for love, and married couples struggling to stay together.",0.092,0.776,0.132,0.5423,1
5,0771074670,Nights Below Station Street,Another story based in the fictional rural town in Miramichi.,0.0,1.0,0.0,0.0,2
6,080652121X,Hitler's Secret Bankers,"Based on newly declassified documents and archival research, Hitler's Secret Bankers reveals the full, hitherto unknown extent of Swiss economic collaboration with the Nazis during World War II. In this updated edition, readers discover how and why the Swiss finally buckled and agreed to pay $1.25 billion in compensation for the funds deposited by Holocaust victims in Swiss banks. In addition to the dispute over dormant accounts, Swiss banks provided to the Nazi war machine the foreign currency that paid for vital war materiel such as chrome and aluminum. The author also explains how the exposure of the myth of Swiss neutrality, in collaboration with the Nazis, triggered investigations into the role of the British regarding Holocaust victims and the part played by Germany and its failure to compensate the survivors of slave labor, as well as the upheaval in the art world, which failed to restore stolen paintings to their rightful owners.",0.169,0.77,0.061,-0.9648,1
7,0887841740,The Middle Stories,"Part Dorothy Parker, part Jose Saramago, with shades of George Orwell, Sheila Heti has arrived on Canada's literary scene a fully formed artist. Balancing wisdom and innocence, joy and foreboding, each story in The Middle Stories leads us to surprising places. A frog doles out sage advice to a plumber infatuated with a princess, a boy falls hopelessly in love with a monkey, and a man with a hat keeps apocalyptic thoughts at bay by resolving to follow a plan that he admits he won't stick to. Globe and Mail critic Russell Smith has described Heti's stories as cryptic fairy tales without morals at the end, but really the morals are in the quality of the telling and in the details disclosed along the way. Look where you weren't going to look, think what you wouldn't have thought, Heti seems to say, and meaning itself gains more meaning and more dimensions. Heti's stories are not what you expect, but why did you expect that anyway?""",0.038,0.855,0.108,0.8316,1
8,1558746218,A Second Chicken Soup for the Woman's Soul,"A collection of inspirational true stories about love, marriage, friendship, overcoming obstacles, and achieving life dreams",0.095,0.327,0.578,0.9231,1
9,1575663937,More Cunning Than Man,"This eye-opening, well-researched examination of mankind's oldest competitor is filled with weirdly fascinating information about the history of the rat and the way it consistently outsmarts man. Illustrations.",0.069,0.82,0.11,0.3182,1
10,1881320189,Goodbye to the Buttermilk Sky,"A beautifully narrated novel of time and place, ""Goodbye to the Buttermilk Sky"" re-creates a southern summer when the depression and the boll weevil turned hopes to dust. With the extraordinary talent to make the reader see the Ball canning jars on the kitchen table, hear the clicks on the party line, and feel the bittersweet moments of 20-year-old Callie Tatum's first experiences with adult desire, Oliver portrays a young wife's increasingly dangerous infidelity with cinematic precision and palpable suspense.",0.087,0.73,0.183,0.836,1
11,0440234743,The Testament,"A suicidal billionaire, a burnt-out Washington litigator, and a woman who has forsaken technology to work in the wilds of Brazil are all brought together by an astounding mystery of the testament",0.131,0.787,0.082,-0.4019,1
12,0452264464,Beloved,"Staring unflinchingly into the abyss of slavery, this novel transforms history into a story as powerful as Exodus and as intimate as a lullaby. Sethe, its protagonist, was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has too many memories of Sweet Home, the beautiful farm where so many hideous things happened. And Sethe's new home is haunted by the ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.",0.171,0.667,0.162,-0.236,1
14,1841721522,New Vegetarian,"In New Vegetarian Celia Brooks Brown presents an innovative approach to vegetarian cooking. There's practical advice on how to choose and prepare the major vegetarian ingredients, followed by 50 original, stylish recipes, all photographed by Philip Webb.",0.0,0.871,0.129,0.6369,1
15,1879384493,If I'd Known Then What I Know Now,"Provides advice on ways to succeed in business, finance, careers, dating, marriage, school, and getting along with others.",0.0,0.842,0.158,0.4939,1
16,0061076031,Mary-Kate & Ashley Switching Goals,"Problems arise when identical twins Emma and Sam switch places in order to solve each other's problems, and the girls worry that things will only get worse if the truth about their plan is revealed.",0.256,0.652,0.092,-0.8074,1
17,0439095026,Tell Me This Isn't Happening!,"As explained by the kids themselves, this book offers a collection of true stories that deal with moments of embarrassment and awkwardness while providing tips and advice on how to handle such difficult situations when they arise. Original.",0.161,0.724,0.115,-0.25,1
18,0689821166,Flood,"As the waters of the Mississippi River rise with each and every moment, Molly and Garrett risk their lives to save their collection of nickles and pennies as it is their only hope of getting out of their poverty-stricken world. Original.",0.044,0.779,0.177,0.743,1
19,0971880107,Wild Animus,"Wild animus is a search for the primordial, a test of human foundations and a journey to the breaking point.",0.0,1.0,0.0,0.0,2
20,0345402871,Airframe,"A fatal mid-air collision involving a commercial airliner prompts a frantic, desperate investigation into the causes of the accident, in a thriller exploring the issue of safety and security in the aircraft industry",0.341,0.501,0.158,-0.8271,1
21,0345417623,Timeline,"Using a quantum time machine, a group of young historians is sent back to the year 1357 to rescue their trapped project leader.",0.132,0.739,0.128,-0.0258,1
22,0684823802,Out of the Silent Planet,"Dr. Ransom is abducted to the eerie red planet, Malacandra, where his escape and flight endanger both his life and his chances of ever returning to Earth",0.18,0.712,0.108,-0.5106,1
23,0375759778,Prague,"A novel of startling scope and ambition, Prague depicts an intentionally lost Lost Generation as it follows five American expats who come to Budapest in the early 1990s to seek their fortune. They harbor the vague suspicion that their counterparts in Prague have it better, but still they hope to find adventure, inspiration, a gold rush, or history in the making.",0.088,0.686,0.226,0.8968,1
24,0425163091,Chocolate Jesus,"When Sydney Corbett comes up with the idea of making candy figures of Jesus, it's just a business opportunity for him and the people at Bea's Candies, but it is blasphemy for the Reverend Willie Domingo and the Church of the Returning Vegetarian Christ, w",0.0,0.957,0.043,0.2263,1
27,0375406328,Lying Awake,"Sister John of the Cross, an elderly nun, experiences a series of dazzling visions, but she is confronted with a difficult choice between her spiritual gifts and curing the powerful headaches that accompany her visions.",0.133,0.684,0.183,0.2617,1
